,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
120,-0.99982644,0.01863031,0.98117046,0.19314379,-0.93728072,0.34857547,0.98503047,0.17238033,-0.94315605,0.33235023,-0.1032907,-0.99465121,0.13478807,-0.99087445,-0.9957232,-0.09238669,0.67646539,-0.73647442,-0.92673927,-0.37570511,0.68467546,-0.72884807,0.01554216,-0.99987921
121,-0.99982644,0.01863031,0.98145542,0.19169051,-0.93728072,0.34857547,0.98478356,0.17378533,-0.94031527,0.34030457,-0.1032907,-0.99465121,0.13478807,-0.99087445,-0.9957232,-0.09238669,0.67646539,-0.73647442,-0.92673927,-0.37570511,0.68759206,-0.72609721,0.01554216,-0.99987921
122,-0.99982644,0.01863031,0.98145542,0.19169051,-0.93728072,0.34857547,0.98503047,0.17238033,-0.94031527,0.34030457,-0.1032907,-0.99465121,0.13478807,-0.99087445,-0.9957232,-0.09238669,0.67646539,-0.73647442,-0.92673927,-0.37570511,0.68759206,-0.72609721,0.01554216,-0.99987921
123,-0.99982644,0.01863031,0.98145542,0.19169051,-0.93728072,0.34857547,0.98503047,0.17238033,-0.94315605,0.33235023,-0.1032907,-0.99465121,0.13478807,-0.99087445,-0.9957232,-0.09238669,0.67375386,-0.73895584,-0.92498844,-0.37999525,0.69034438,-0.72348091,0.0104161,-0.99994575
124,-0.99969151,0.02483706,0.97998732,0.19905992,-0.93728072,0.34857547,0.98503047,0.17238033,-0.94315605,0.33235023,-0.10368523,-0.99461016,0.13478807,-0.99087445,-0.9957232,-0.09238669,0.67670461,-0.73625462,-0.92498844,-0.37999525,0.68743704,-0.72624397,0.0104161,-0.99994575
125,-0.99969151,0.02483706,0.9796805,0.20056451,-0.93473227,0.35535276,0.98503047,0.17238033,-0.94594595,0.32432432,-0.10748184,-0.99420705,0.13120872,-0.99135477,-0.9957232,-0.09238669,0.67670461,-0.73625462,-0.92498844,-0.37999525,0.68743704,-0.72624397,0.0104161,-0.99994575
126,-0.99951208,0.03123475,0.9796805,0.20056451,-0.93632918,0.35112344,0.98360656,0.18032787,-0.94594595,0.32432432,-0.10748184,-0.99420705,0.12762423,-0.99182259,-0.99661625,-0.08219515,0.67670461,-0.73625462,-0.9232245,-0.38426101,0.68743704,-0.72624397,0.01562309,-0.99987795
127,-0.9990323,0.04398255,0.97654755,0.21530182,-0.93979342,0.34174306,0.98333676,0.18179335,-0.94688159,0.32158243,-0.11594425,-0.99325572,0.11684125,-0.9931506,-0.99661625,-0.08219515,0.67646539,-0.73647442,-0.9232245,-0.38426101,0.68759206,-0.72609721,0.01562309,-0.99987795
128,-0.9990323,0.04398255,0.97618706,0.21693046,-0.94069067,0.33926549,0.98277696,0.18479567,-0.9486833,0.31622777,-0.12834153,-0.99173003,0.10679317,-0.99428126,-0.99661625,-0.08219515,0.66775426,-0.74438179,-0.9196585,-0.39271904,0.69060507,-0.72323208,0.01562309,-0.99987795
129,-0.99873663,0.0502509,0.97813927,0.20795087,-0.93979342,0.34174306,0.98248652,0.18633365,-0.94955085,0.31361312,-0.13216372,-0.9912279,0.10315052,-0.99466576,-0.99740624,-0.07197777,0.6704815,-0.74192625,-0.91707006,-0.39872611,0.68789487,-0.72581034,0.01036214,-0.99994631
130,-0.99840185,0.05651331,0.97936664,0.20209153,-0.94069067,0.33926549,0.98521175,0.17134117,-0.95292578,0.30320366,-0.13650542,-0.99063932,0.09550243,-0.9954292,-0.99668462,-0.08136201,0.66775426,-0.74438179,-0.91731028,-0.39817314,0.67962312,-0.73356146,0.00515457,-0.99998672
131,-0.9983816,0.05686984,0.98058068,0.19611614,-0.93912285,0.34358153,0.98662482,0.16300758,-0.95371243,0.30072014,-0.14032982,-0.99010481,0.09186087,-0.99577185,-0.99661625,-0.08219515,0.66504026,-0.74680751,-0.91914503,-0.3939193,0.6825097,-0.73087653,0.0,0.0
132,-0.99800311,0.06316475,0.98087895,0.19461884,-0.93756622,0.34780682,0.9883717,0.15205718,-0.94955085,0.31361312,-0.14032982,-0.99010481,0.08789381,-0.99612985,-0.99668462,-0.08136201,0.66504026,-0.74680751,-0.91835588,-0.39575557,0.67962312,-0.73356146,-0.00529093,-0.999986
133,-0.99758528,0.06945214,0.98117046,0.19314379,-0.93756622,0.34780682,0.98960833,0.14378924,-0.9486833,0.31622777,-0.14414794,-0.98955615,0.08789381,-0.99612985,-0.99740624,-0.07197777,0.66537052,-0.74651327,-0.91650563,-0.40002179,0.67105502,-0.74140756,-0.0106377,-0.99994342
134,-0.99758528,0.06945214,0.98233857,0.18711211,-0.93756622,0.34780682,0.99011384,0.14026613,-0.94955085,0.31361312,-0.14795964,-0.9889934,0.08425813,-0.99644396,-0.99740624,-0.07197777,0.66537052,-0.74651327,-0.91755563,-0.39760744,0.67105502,-0.74140756,-0.00529093,-0.999986
135,-0.99761545,0.06901742,0.98206244,0.18855599,-0.93508373,0.3544269,0.98994949,0.14142136,-0.95447998,0.29827499,-0.15176476,-0.98841664,0.08456683,-0.99641781,-0.99809241,-0.06173767,0.66537052,-0.74651327,-0.91568969,-0.40188603,0.67401362,-0.73871892,0.0,0.0
136,-0.99712826,0.07573126,0.98089123,0.19455694,-0.93847123,0.34535741,0.9892496,0.1462369,-0.95759273,0.28812525,-0.15176476,-0.98841664,0.08061908,-0.99674498,-0.99809241,-0.06173767,0.66269012,-0.74889372,-0.91568969,-0.40188603,0.67670461,-0.73625462,0.0,0.0
137,-0.99758528,0.06945214,0.98212301,0.18824024,-0.94174191,0.3363364,0.98754947,0.15730876,-0.95962854,0.28127044,-0.15176476,-0.98841664,0.08061908,-0.99674498,-0.99740624,-0.07197777,0.65697828,-0.7539095,-0.91381155,-0.40613847,0.67401362,-0.73871892,-0.00518128,-0.99998658
138,-0.99758528,0.06945214,0.98212301,0.18824024,-0.9486833,0.31622777,0.98754947,0.15730876,-0.97062853,0.24058314,-0.14795964,-0.9889934,0.08091462,-0.99672104,-0.99813103,-0.06111006,0.65697828,-0.7539095,-0.91192151,-0.41036468,0.67105502,-0.74140756,-0.00515457,-0.99998672
139,-0.99764506,0.0685881,0.98182947,0.18976536,-0.95019264,0.31166319,0.98754947,0.15730876,-0.97828509,0.20726379,-0.15176476,-0.98841664,0.08821562,-0.9961014,-0.99809241,-0.06173767,0.65697828,-0.7539095,-0.91192151,-0.41036468,0.66836893,-0.74382994,-0.01025587,-0.99994741
140,-0.99764506,0.0685881,0.98182947,0.18976536,-0.95461577,0.29784012,0.98776297,0.15596257,-0.97768401,0.21008086,-0.14795964,-0.9889934,0.09186087,-0.99577185,-0.99809241,-0.06173767,0.65123449,-0.75887656,-0.91464315,-0.40426217,0.67105502,-0.74140756,-0.01020355,-0.99994794
141,-0.99764506,0.0685881,0.98182947,0.18976536,-0.95887546,0.28382714,0.98906327,0.14749189,-0.97964321,0.20074656,-0.14795964,-0.9889934,0.09186087,-0.99577185,-0.99809241,-0.06173767,0.65431777,-0.75621972,-0.91381155,-0.40613847,0.66836893,-0.74382994,-0.01530433,-0.99988288
142,-0.99764506,0.0685881,0.98212301,0.18824024,-0.96094161,0.27675118,0.99029398,0.13898863,-0.98268933,0.1852611,-0.14795964,-0.9889934,0.09550243,-0.9954292,-0.99805258,-0.06237829,0.65431777,-0.75621972,-0.91381155,-0.40613847,0.66836893,-0.74382994,-0.02040391,-0.99979182
143,-0.99802808,0.06276906,0.98360656,0.18032787,-0.96546764,0.26052301,0.99029398,0.13898863,-0.98550672,0.1696364,-0.14739204,-0.98907815,0.09186087,-0.99577185,-0.99805258,-0.06237829,0.65167072,-0.75850199,-0.91296829,-0.40803052,0.67105502,-0.74140756,-0.02537254,-0.99967807
144,-0.99802808,0.06276906,0.98333676,0.18179335,-0.96546764,0.26052301,0.99029398,0.13898863,-0.98808912,0.15388273,-0.14795964,-0.9889934,0.09550243,-0.9954292,-0.99729632,-0.07348499,0.65167072,-0.75850199,-0.91381155,-0.40613847,0.66836893,-0.74382994,-0.03044274,-0.99953651
145,-0.99842171,0.05616122,0.98333676,0.18179335,-0.96351791,0.26764386,0.9914543,0.13045451,-0.98946106,0.14479918,-0.14795964,-0.9889934,0.0958529,-0.99539551,-0.99735213,-0.07272359,0.64903718,-0.76075669,-0.91464315,-0.40426217,0.67105502,-0.74140756,-0.02030038,-0.99979393
146,-0.99842171,0.05616122,0.9830603,0.18328243,-0.96458971,0.263755,0.99160041,0.12933918,-0.98808912,0.15388273,-0.14795964,-0.9889934,0.0958529,-0.99539551,-0.99735213,-0.07272359,0.64903718,-0.76075669,-0.91546331,-0.40240145,0.67105502,-0.74140756,-0.01522666,-0.99988407
147,-0.99876776,0.04962821,0.9830603,0.18328243,-0.96265094,0.27074558,0.99160041,0.12933918,-0.98827863,0.15266093,-0.14795964,-0.9889934,0.09620594,-0.99536145,-0.99740624,-0.07197777,0.64903718,-0.76075669,-0.91546331,-0.40240145,0.67105502,-0.74140756,-0.01015176,-0.99994847
148,-0.99875234,0.04993762,0.9830603,0.18328243,-0.96265094,0.27074558,0.99160041,0.12933918,-0.98744063,0.1579905,-0.14414794,-0.98955615,0.09620594,-0.99536145,-0.99740624,-0.07197777,0.64903718,-0.76075669,-0.91546331,-0.40240145,0.67105502,-0.74140756,-0.01015176,-0.99994847
149,-0.99876776,0.04962821,0.98277696,0.18479567,-0.9620936,0.27271945,0.99174283,0.12824261,-0.98763553,0.15676754,-0.14414794,-0.98955615,0.09950372,-0.99503719,-0.99661625,-0.08219515,0.64903718,-0.76075669,-0.91731028,-0.39817314,0.67105502,-0.74140756,-0.01015176,-0.99994847
150,-0.99875234,0.04993762,0.98248652,0.18633365,-0.96265094,0.27074558,0.99077857,0.13549109,-0.98744063,0.1579905,-0.14032982,-0.99010481,0.09950372,-0.99503719,-0.99661625,-0.08219515,0.64903718,-0.76075669,-0.91731028,-0.39817314,0.67105502,-0.74140756,-0.01015176,-0.99994847
151,-0.99875234,0.04993762,0.98248652,0.18633365,-0.9620936,0.27271945,0.98943124,0.14500285,-0.98744063,0.1579905,-0.13703485,-0.99056623,0.10315052,-0.99466576,-0.9957232,-0.09238669,0.64903718,-0.76075669,-0.91650563,-0.40002179,0.67105502,-0.74140756,-0.01514978,-0.99988524
